Назва,Тип
Одеська область,область
м.Одеса,місто
м.Балта,місто
м.Білгород-Дністровський,місто
м.Біляївка,місто
м.Ізмаїл,місто
м.Чорноморськ,місто
м.Подільськ,місто
м.Теплодар,місто
м.Южне,місто
Ананьївський,район
Арцизький,район
Балтський,район
Білгород-Дністровський,район
Біляївський,район
Березівський,район
Болградський,район
Великомихайлівський,район
Іванівський,район
Ізмаїльський,район
Кілійський,район
Кодимський,район
Лиманський,район
Подільський,район
Окнянський,район
Любашівський,район
Миколаївський,район
Овідіопольський,район
Роздільнянський,район
Ренійський,район
Савранський,район
Саратський,район
Тарутинський,район
Татарбунарський,район
Захарівський,район
Ширяївський,район
